LG浓度,实际浓度,DPPH清除率%均值,标准差
-0.97469,0.1060010091862526,16.737,0.0
-1.27572,0.05300050406396649,18.083,0.0
-1.57675,0.026500251767403338,8.665,0.0
-1.87615,0.013299949746492488,3.375,0.0
-2.18046,0.006599940191598727,1.632,0.0
-2.48149,0.0032999700628522904,0.562,0.0
