LG浓度,实际浓度,吸光度均值,标准差
-0.022,0.9506047936562815,0.208,0.066
-0.323,0.4753352259428053,0.159,0.066
-0.624,0.23768402866248767,0.149,0.081
-0.925,0.11885022274370183,0.28,0.073
-1.226,0.05942921586155727,0.271,0.046
-1.527,0.029716660317380267,0.333,0.021
