参数名称,参数值
参数a,0.38090738009468095
参数b,-5.942953445547365
参数c,-1.5551434938352195
参数d,0.44637623906397705
R²值,0.9835519732911304
IC50(实际浓度),0.027852007674067703
IC50(LG浓度),-1.5551434938352195
