LG浓度,实际浓度,吸光度均值,标准差
0.017,1.0399201658290593,0.377,0.04
-0.284,0.519995996533516,0.377,0.046
-0.585,0.2600159563165272,0.414,0.026
-0.886,0.13001695780332903,0.434,0.013
-1.187,0.06501296903430906,0.43,0.022
-1.488,0.032508729738543435,0.427,0.024
