物质,EC50值,EC50值(LG),R²值
维生素C,0.027242997017995187,-1.5647451171417561,0.9805315126486548
杨梅粉,0.01718231927840825,-1.7649182152526177,0.998942490805807
黑枸杞粉,0.015027248728042904,-1.8231205251751348,0.9985610081663151
余甘子提取物,0.018531848110792587,-1.7320812679829642,0.9999577312164054
蓝莓花青素,0.01921010099921076,-1.7164703517814817,0.9997538634769276
接骨木莓花青素,0.020824004876282744,-1.6814357432016231,0.9997618871639352
桂花果提取物,0.022043553115483613,-1.65671840192196,0.9998578301303332
