LG浓度,实际浓度,DPPH清除率%均值,标准差
0.017,1.0399201658290593,14.572,30.72376546
-0.284,0.519995996533516,13.766,29.97315298
-0.585,0.2600159563165272,10.451,26.11582997
-0.886,0.13001695780332903,4.891,20.96924877
-1.187,0.06501296903430906,1.984,12.32912144
-1.488,0.032508729738543435,1.008,8.44095235
