LG浓度,实际浓度,DPPH清除率%均值,标准差
-0.97469,0.1060010091862526,12.952,9.466419767
-1.27572,0.05300050406396649,12.345,10.28947083
-1.57675,0.026500251767403338,8.569,5.733297105
-1.87615,0.013299949746492488,2.899,3.182487122
-2.18046,0.006599940191598727,1.098,7.985519157
-2.48149,0.0032999700628522904,0.641,7.780240749
