参数名称,参数值
参数a,0.07966335858483321
参数b,-2.1371945933851877
参数c,-1.0403036798855874
参数d,0.21462499999999998
R²值,0.9704733037102279
IC50(实际浓度),0.09113733398027032
IC50(LG浓度),-1.0403036798855874
