序号,LG浓度,实际浓度,吸光度,标准偏差,拟合值
1,0.033423755,1.0799999987890574,0.07475,0.008876132,0.08034451746777305
2,-0.26760624,0.5400000002201203,0.081125,0.015887439,0.08260927801143944
3,-0.568636236,0.2699999999011579,0.101125,0.039747192,0.09172753840412873
4,-0.869666232,0.13499999984612784,0.120625,0.056053387,0.12036696895950076
5,-1.170696227,0.06750000002626286,0.158625,0.076868975,0.16808093153762332
6,-1.471726223,0.033749999987018664,0.214625,0.079519876,0.2002009095586506
