LG浓度,实际浓度,吸光度均值,标准差
0.009,1.02093948370768,0.265,0.108
-0.292,0.5105049999754063,0.239,0.097
-0.593,0.2552701302661247,0.225,0.085
-0.894,0.12764388088113438,0.292,0.057
-1.196,0.06367955209079158,0.354,0.045
-1.497,0.03184197521726124,0.405,0.024
