LG浓度,实际浓度,吸光度均值,标准差
0.017,1.0399201658290593,0.333,0.146
-0.284,0.519995996533516,0.0,0.121
-0.585,0.2600159563165272,0.26,0.103
-0.886,0.13001695780332903,0.32,0.079
-1.187,0.06501296903430906,0.362,0.046
-1.488,0.032508729738543435,0.398,0.036
