LG浓度,实际浓度,DPPH清除率%均值,标准差
-0.975,0.10592537251772889,16.737,7.716974408
-1.276,0.05296634438916578,18.083,6.219935203
-1.577,0.02648500138606701,8.665,5.888329836
-1.876,0.013304544179780914,3.375,4.300064122
-2.18,0.006606934480075957,1.632,3.496297799
-2.481,0.003303695410368149,0.562,4.489672885
