物质,IC50值,IC50值(LG),R²值
维生素C,0.2836512253975372,-0.5472153359059457,0.9835147713426371
杨梅粉,0.12622992826815987,-0.8988376645787193,0.8539314550400657
黑枸杞粉,0.5513371080675791,-0.2585827760920554,0.7588877383981862
余甘子提取物,1.1254767327467345,0.05133652115426296,0.006982497438642321
蓝莓花青素,0.18827884109831478,-0.7251984835445119,0.42842695810966647
接骨木莓花青素,0.08735181703597489,-1.0587280566742983,0.9482143651922553
桂花果提取物,0.2685720861303152,-0.5709391274437021,0.992868499690699
